gene	exp_rep3.exon	exp_rep2.exon	control_rep2.exon	exp_rep1.exon	control_rep1.exon	control_rep3.exon
ENSG00000290825.1	1	3	0	2	0	0
ENSG00000223972.6	0	0	0	0	0	0
ENSG00000227232.6	212	200	146	164	150	220
ENSG00000278267.1	0	0	0	0	0	2
ENSG00000243485.5	1	4	1	4	2	2
ENSG00000284332.1	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0
ENSG00000290826.1	0	0	0	0	0	0
ENSG00000240361.3	0	0	0	0	0	0
ENSG00000186092.7	0	0	0	0	0	0
ENSG00000238009.7	3	0	2	2	1	1
ENSG00000239945.1	0	0	0	0	0	0
ENSG00000233750.3	4	9	5	6	3	10
ENSG00000268903.1	57	70	45	54	56	73
ENSG00000269981.1	44	41	22	27	39	48
ENSG00000239906.1	1	2	2	0	1	0
ENSG00000241860.7	22	37	16	36	35	23
ENSG00000222623.1	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0
ENSG00000279928.2	0	0	0	0	0	0
ENSG00000279457.4	113	121	72	100	99	119
ENSG00000273874.1	0	0	0	0	0	0
ENSG00000292994.1	27	31	24	22	31	34
ENSG00000228463.11	0	0	0	0	0	0
ENSG00000286448.1	0	0	0	0	0	0
ENSG00000236679.2	1	1	0	0	0	0
ENSG00000236601.2	0	0	0	0	0	0
ENSG00000290385.1	25	64	30	41	31	41
ENSG00000269732.1	0	0	0	0	0	0
ENSG00000284733.2	0	0	0	0	0	0
ENSG00000237094.13	0	0	0	0	0	0
ENSG00000233653.3	0	0	0	0	0	0
ENSG00000250575.1	0	0	0	0	0	0
ENSG00000278757.1	0	0	0	0	0	0
ENSG00000293331.1	9	13	5	21	14	18
ENSG00000235146.2	0	0	0	0	0	0
ENSG00000225972.1	2070	1682	1018	1577	1478	1626
ENSG00000225630.1	1203	1075	755	1034	788	993
ENSG00000237973.1	555	509	364	467	374	543
ENSG00000278791.1	0	0	0	0	0	0
ENSG00000229344.1	80	53	31	39	25	45
ENSG00000240409.1	2	0	1	1	1	0
ENSG00000248527.1	5787	4623	3331	4201	4425	4660
ENSG00000198744.5	113	85	43	56	63	67
ENSG00000268663.1	0	0	0	0	0	0
ENSG00000284662.2	0	0	0	0	0	0
ENSG00000230021.11	0	0	0	0	0	0
ENSG00000229376.3	1	1	2	4	0	3
ENSG00000291215.1	88	151	110	129	112	126
ENSG00000223181.1	0	0	0	0	0	0
ENSG00000229905.1	0	0	0	0	0	0
ENSG00000228327.6	0	0	0	0	0	0
ENSG00000237491.10	23	26	17	27	20	25
ENSG00000285268.1	0	0	0	0	0	0
ENSG00000290784.1	4	6	4	5	3	3
ENSG00000230092.8	0	0	0	0	0	0
ENSG00000177757.2	4	4	1	6	2	5
ENSG00000225880.6	50	47	29	31	52	42
ENSG00000228794.12	2109	2288	1751	2359	1996	2649
ENSG00000288531.1	2	3	0	3	1	0
ENSG00000230368.2	1	4	1	1	1	2
ENSG00000234711.1	0	1	0	0	1	0
ENSG00000283040.1	0	1	0	1	0	1
ENSG00000272438.1	28	30	22	27	21	28
ENSG00000230699.2	134	133	102	102	104	119
ENSG00000241180.1	4	1	2	1	0	4
ENSG00000223764.2	124	109	88	81	75	128
ENSG00000187634.13	148	53	93	59	90	131
ENSG00000188976.11	13440	11209	10656	11524	11020	14225
ENSG00000187961.15	341	411	258	361	343	383
ENSG00000187583.11	126	143	103	149	116	141
